TIPO_AGENTE,NOMBRE_COMERCIAL,RAZON_SOCIAL,ESTADO_AGENTE,DEPARTAMENTO,MUNICIPIO,CODIGO_MUNICIPIO_DANE,LATITUD,LONGITUD
TALLER DE CONVERSION,BIABLE INGENIERIA Y SERVICIOS SAS,BIABLE INGENIERIA Y SERVICIOS SAS,ACTIVO,BOLIVAR,CARTAGENA DE INDIAS,13001,10.3851261139,-75.4962692261
TALLER DE CONVERSION,POWER GAS IBAGUE S.A.S.,POWER GAS IBAGUE S.A.S.,ACTIVO,TOLIMA,IBAGUE,73001,4.4322481155,-75.1942520142
DISTRIBUIDOR COMERCIALIZADOR DE GAS,COLGATE PALMOLIVE,COLGATE PALMOLIVE,INACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
ESTACION DE SERVICIO DE GNCV,INVERSIONES FESTIVAL S.A.S.,INVERSIONES FESTIVAL S.A.S.,ACTIVO,CESAR,VALLEDUPAR,20001,10.4604721069,-73.2593994141
ESTACION DE SERVICIO DE GNCV,ESTACIÓN DE SERVICIO PALACÉ,ESCABOR S.A.S.,INACTIVO,ANTIOQUIA,MEDELLIN,05001,6.2466311455,-75.5817718506
ESTACION DE SERVICIO DE GNCV,ESTACIÓN DE SERVICIO DISTRACOM SAN ROQUE,DISTRACOM S.A.,ACTIVO,ATLANTICO,BARRANQUILLA,08001,10.9779605865,-74.8155441284
TALLER DE CONVERSION,GAS INYECCION TUNJA SAS,GAS INYECCION TUNJA SAS,INACTIVO,BOYACA,TUNJA,15001,5.5398797989,-73.3555374146
TALLER DE CONVERSION,CENTRO INTEGRAL DE SERVICIO Y ADAPTACION A GNV,CENTRO INTEGRAL DE SERVICIOS Y ADAPTACION GNV SAS,INACTIVO,ANTIOQUIA,MEDELLIN,05001,6.2466311455,-75.5817718506
ESTACION DE SERVICIO DE GNCV,ESTACION DE SERVICIO GNV TERPEL AMIRA DE LA ROSA,EVIMERIA PM SAS,ACTIVO,ATLANTICO,BARRANQUILLA,08001,10.9779605865,-74.8155441284
ESTACION DE SERVICIO DE GNCV,EDS LA CASONA GNV,MASSER S.A.S.,INACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
ESTACION DE SERVICIO DE GNCV,EDS VERSALLES GNV,MASSER S.A.S.,INACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
TALLER DE CONVERSION,SERGIO DANIEL TOBON IDARRAGA,SERGIO DANIEL TOBON IDARRAGA,INACTIVO,CALDAS,MANIZALES,17001,5.057656765,-75.491027832
ESTACION DE SERVICIO DE GNCV,COMERCIALIZADORA DE COMBUSTIBLES Y SERVICIOS DE LA VIA S.A.S.,COMERCIALIZADORA DE COMBUSTIBLES Y SERVICIOS DE LA VIA S.A.S.,INACTIVO,ATLANTICO,BARRANQUILLA,08001,10.9779605865,-74.8155441284
TALLER DE CONVERSION,GNV EXPRESS LA 25,GNV EXPRESS S.A.S.,ACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
DISTRIBUIDOR COMERCIALIZADOR DE GAS,EDS PANAMERICANA,DETECTO DE COLOMBIA LTDA,INACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
TALLER DE CONVERSION,INVERSIONES PORWERCARS DUITAMA SAS,INVERSIONES POWERCARS S.A.S.,INACTIVO,BOYACA,DUITAMA,15238,5.8229641914,-73.030632019
ESTACION DE SERVICIO DE GNCV,GREEN EDS BARRANQUILLA,GREEN S.A.S.,ACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
ESTACION DE SERVICIO DE GNCV,EDS PANAMERICANA,DETECTO DE COLOMBIA LTDA,INACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
ESTACION DE SERVICIO DE GNCV,EDS SAGRADO CORAZON,DISTRACOM S.A.,INACTIVO,BOLIVAR,EL CARMEN DE BOLIVAR,13244,9.7186527252,-75.1211776733
ESTACION DE SERVICIO DE GNCV,ESTACIÓN DE SERVICIO LA MILAGROSA,BITROIL S.A.S.,INACTIVO,VALLE DEL CAUCA,CALI,76001,3.4136860371,-76.5213317871
